lat,long,weight
37.3541,-121.9552,4
37.6922,-97.3372,2
37.6195,-99.1065,1
37.6792,-95.4572,1
37.5103,-94.8442,1
35.2226,-97.4395,1
39.0997,-94.5783,9
34.5092,-96.9753,1
40.0472,-101.5332,1
42.4036,-96.3586,1
42.8817,-97.3925,1
40.7584,-82.5154,1
38.2081,-91.1604,1
34.6227,-92.3945,1
42.0145,-93.3186,1
38.3359,-90.1498,1
40.7036,-104.7808,1
34.9387,-104.6825,1
44.0536,-98.2756,1
42.4755,-92.0638,1
32.1293,-101.7885,1
42.4733,-91.7343,1
31.45,-100.45,1
32.0051,-102.0992,2
41.8317,-90.8382,1
35.687,-105.9378,2
33.4054,-90.8976,1
39.5995,-88.6078,1
37.9772,-87.5506,1
38.6617,-86.4517,1
36.7223,-86.5772,1
31.7903,-106.4233,2
39.791,-86.148,4
41.9779,-91.6656,2
35.6282,-86.6962,1
44.8956,-85.4165,1
33.4483,-112.074,9
35.9132,-79.0558,1
26.1531,-81.7986,1
26.142,-81.7948,1
37.0842,-94.5131,2
40.7571,-99.1087,1
38.7628,-93.736,1
34.1743,-97.1436,1
36.2772,-92.5922,1
36.2831,-92.49,1
42.5,-96.4003,3
35.0872,-92.4533,1
36.7959,-89.9579,1
42.0625,-104.1844,1
31.8457,-102.3676,1
32.5093,-92.1193,1
30.6014,-96.3144,3
34.3597,-89.5261,2
44.4583,-93.1616,1
33.4821,-89.7281,1
38.4065,-107.8902,2
38.6773,-87.5286,1
29.3116,-96.1027,1
42.095,-87.9809,1
44.2828,-105.5053,2
30.4913,-91.5196,1
39.4278,-86.4283,1
46.8133,-100.779,1
38.0608,-97.9298,1
38.587,-98.4112,1
38.825,-98.4753,1
36.1215,-97.0685,2
36.1539,-95.9925,2
36.6387,-95.1541,1
37.1692,-94.8441,1
37.5814,-101.3552,1
39.0911,-94.4155,1
39.3958,-101.0519,1
39.7581,-94.8367,1
36.6853,-101.4794,1
34.6036,-98.3959,1
40.4122,-95.5197,1
37.195,-93.2861,4
40.9277,-100.1607,1
38.8747,-92.9116,1
38.6547,-92.7789,1
33.6508,-97.3756,1
33.5833,-98.4333,1
40.4008,-93.5805,1
42.0283,-97.4336,1
38.9517,-92.3341,1
38.9516,-92.3286,2
36.677,-93.8688,1
39.0181,-91.8971,1
39.9512,-90.2123,1
35.1495,-90.049,1
30.25,-97.75,3
30.388,-96.0877,1
29.7631,-95.3631,7
36.1667,-86.7833,2
36.9817,-86.4444,1
41.9117,-86.01,1
32.53,-109.49,1
43.5978,-84.7675,2
42.3314,-83.0458,3
48.1836,-106.6353,1
33.7368,-82.7393,1
40.7967,-81.5214,1
36.176,-115.137,6
33.28,-81.58,1
40.4417,-80.0,1
44.9487,-93.1002,1
43.05,-87.95,2
36.2296,-77.1141,1
40.7894,-74.0569,1
42.7272,-92.4668,1
41.5236,-90.5776,3
40.3289,-111.9031,1
44.7681,-85.6222,1
32.6835,-84.7383,1
39.1784,-78.1668,2
37.7749,-122.4194,5
47.5403,-122.6362,1
42.4781,-96.1817,1
35.2423,-87.3347,1
47.2944,-101.6227,1
32.2529,-109.832,1
32.2217,-110.9264,4
34.5482,-112.4733,1
33.5806,-112.2374,1
31.3404,-110.9343,2
37.3382,-121.8863,2
42.2383,-85.335,1
46.8802,-117.3643,1
33.5664,-101.8867,4
38.9795,-90.9807,1
39.5408,-89.2881,1
36.6102,-88.3021,1
41.6725,-86.2553,1
44.5133,-88.0158,1
34.6947,-84.4836,1
48.3445,-103.1652,1
42.2814,-83.3864,1
41.5742,-75.2558,1
37.7974,-121.2161,1
44.8007,-122.7945,1
34.3115,-89.9443,1
30.4582,-91.1403,2
36.8665,-83.8888,1
40.7914,-77.8586,2
39.2833,-76.6167,2
28.4158,-81.2989,4
40.0379,-76.3055,1
41.2459,-75.8813,1
36.7468,-119.7726,1
42.6525,-73.7572,2
45.3563,-122.8559,1
41.7304,-71.2825,1
42.1944,-71.2,1
